Transaktionen,Header,DataDiscriminator,Vermögenswertkategorie,Währung,Symbol,Datum/Zeit,Menge,T.-Kurs,Schlussk.,Erlös,Prov./Gebühr,Basis,Realisierter G&V,MTM-G&V,Code
"Transaktionen,Data,Order,Aktien,USD,LRN,""2024-01-24, 09:32:36"",-26,61.22,60.82,1591.72,-2,-1575.46,14.26,10.4,C"
Transaktionen,SubTotal,,Aktien,USD,LRN,,0,,,20.26,-6,0,14.26,13.5,
"Transaktionen,Data,Order,Aktien,USD,LULU,""2023-12-08, 11:06:20"",3,485.725,489.64,-1457.175,-2,1459.175,0,11.745,O"
"Transaktionen,Data,Order,Aktien,USD,LULU,""2024-01-31, 09:35:06"",-3,463.23,453.82,1389.69,-2,-1459.175,-71.485,28.23,C"
Transaktionen,SubTotal,,Aktien,USD,LULU,,0,,,-67.485,-4,0,-71.485,39.975,
"Transaktionen,Data,Order,Aktien,USD,MHO,""2024-01-31, 09:38:14"",9,124.22,127.42,-1117.98,-2,1119.98,0,28.8,O"
"Transaktionen,Data,Order,Aktien,USD,MHO,""2024-02-01, 10:52:42"",-9,126.8,128.88,1141.2,-2,-1119.98,19.22,-18.72,C"
Transaktionen,SubTotal,,Aktien,USD,MHO,,0,,,23.22,-4,0,19.22,10.08,
"Transaktionen,Data,Order,Aktien,USD,MOH,""2023-11-30, 12:16:46"",3,363.445,365.56,-1090.335,-2,1092.335,0,6.345,O"
"Transaktionen,Data,Order,Aktien,USD,MOH,""2023-12-15, 10:29:15"",-3,357.71,362.98,1073.13,-2,-1092.335,-21.205,-15.81,C"
Transaktionen,SubTotal,,Aktien,USD,MOH,,0,,,-17.205,-4,0,-21.205,-9.465,
