Transaktionen,Header,DataDiscriminator,Vermögenswertkategorie,Währung,Symbol,Datum/Zeit,Menge,T.-Kurs,Schlussk.,Erlös,Prov./Gebühr,Basis,Realisierter G&V,MTM-G&V,Code
Transaktionen,Data,Order,Aktien,USD,CBOE,"2024-01-29, 09:38:14",-10,185.22,183.5,1852.2,-2,-1762.133334,88.066666,17.2,C
Transaktionen,SubTotal,,Aktien,USD,CBOE,,0,,,-5.245,-12,0,-17.245,17.985,
Transaktionen,Data,Order,Aktien,USD,CDRE,"2023-11-30, 12:18:34",31,32.48,32.2,-1006.88,-2,1008.88,0,-8.68,O;P
Transaktionen,Data,Order,Aktien,USD,CDRE,"2023-12-12, 11:40:07",30,31.979,32.37,-959.37,-2,961.37,0,11.73,O;P
Transaktionen,Data,Order,Aktien,USD,CDRE,"2023-12-12, 12:01:36",-31,32.03,32.37,992.93,-2,-1008.88,-17.949999,-10.54,C
Transaktionen,Data,Order,Aktien,USD,CDRE,"2024-01-03, 10:03:57",6,32.27,31.53,-193.62,-2,195.62,0,-4.44,O;P
Transaktionen,SubTotal,,Aktien,USD,CDRE,,36,,,-1166.94,-8,1156.99,-17.949999,-11.93,
Transaktionen,Data,Order,Aktien,USD,CRWD,"2023-12-08, 11:06:22",5,240.265,242.55,-1201.325,-2,1203.325,0,11.425,O
Transaktionen,SubTotal,,Aktien,USD,CRWD,,5,,,-1201.325,-2,1203.325,0,11.425,
Transaktionen,Data,Order,Aktien,USD,CXW,"2023-11-30, 12:16:45",64,14.655,14.47,-937.92,-2,939.92,0,-11.84,O
