Transaktionen,Header,DataDiscriminator,Vermögenswertkategorie,Währung,Symbol,Datum/Zeit,Menge,T.-Kurs,Schlussk.,Erlös,Prov./Gebühr,Basis,Realisierter G&V,MTM-G&V,Code
Transaktionen,Data,Order,Aktien,USD,PTGX,"2024-03-11, 13:44:02",-25,29.83,30.12,745.75,-2,-799.75,-56,-7.25,C
Transaktionen,SubTotal,,Aktien,USD,PTGX,,0,,,-52,-4,0,-56,-1.25,
Transaktionen,Data,Order,Aktien,USD,QCOM,"2024-01-10, 10:52:19",10,138.78,139.31,-1387.8,-2,1389.8,0,5.3,O;P
Transaktionen,Data,Order,Aktien,USD,QCOM,"2024-01-30, 12:27:11",-10,146.69,145.98,1466.9,-2,-1389.8,75.1,7.1,C
Transaktionen,SubTotal,,Aktien,USD,QCOM,,0,,,79.1,-4,0,75.1,12.4,
Transaktionen,Data,Order,Aktien,USD,QLYS,"2024-01-08, 11:26:49",7,182.3,184.18,-1276.1,-2,1278.1,0,13.16,O
Transaktionen,Data,Order,Aktien,USD,QLYS,"2024-01-26, 09:33:15",-7,190.02,188.79,1330.14,-2,-1278.1,50.04,8.61,C
Transaktionen,SubTotal,,Aktien,USD,QLYS,,0,,,54.04,-4,0,50.04,21.77,
Transaktionen,Data,Order,Aktien,USD,RNA,"2024-03-15, 11:12:28",30,24.1586,24.42,-724.758,-2,726.758,0,7.842,O
Transaktionen,Data,Order,Aktien,USD,RNA,"2024-03-25, 11:08:11",-30,23.23,23.19,696.9,-2,-726.758,-31.858,1.2,C
Transaktionen,Data,Order,Aktien,USD,RNA,"2024-04-04, 14:06:18",25,23.99,23.69,-599.75,-2,601.75,0,-7.5,O
Transaktionen,Data,Order,Aktien,USD,RNA,"2024-04-12, 15:10:04",-25,24.09,24.09,602.25,-2,-601.75,-1.5,0,C
Transaktionen,SubTotal,,Aktien,USD,RNA,,0,,,-25.358,-8,0,-33.358,1.542,
Transaktionen,Data,Order,Aktien,USD,ROAD,"2024-01-03, 10:02:49",8,41.63,40.9,-333.04,-2,335.04,0,-5.84,O
Transaktionen,Data,Order,Aktien,USD,ROAD,"2024-01-18, 09:38:11",-26,42.09,42.79,1094.34,-2,-1093.04,-0.7,-18.2,C
Transaktionen,SubTotal,,Aktien,USD,ROAD,,-18,,,761.3,-4,-758,-0.7,-24.04,
Transaktionen,Data,Order,Aktien,USD,RSG,"2024-04-24, 12:01:50",6,191.71,191.99,-1150.26,-2,1152.26,0,1.68,O
Transaktionen,Data,Order,Aktien,USD,RSG,"2024-05-01, 09:30:01",-6,182.62,186,1095.72,-2,-1152.26,-58.54,-20.28,C
Transaktionen,SubTotal,,Aktien,USD,RSG,,0,,,-54.54,-4,0,-58.54,-18.6,
Transaktionen,Data,Order,Aktien,USD,SHOO,"2024-06-04, 10:21:29",35,45.205,44.1,-1582.175,-2,1584.175,0,-38.675,O
Transaktionen,Data,Order,Aktien,USD,SHOO,"2024-06-10, 09:30:00",-35,43.595,44.05,1525.825,-2,-1584.175,-60.35,-15.925,C
Transaktionen,SubTotal,,Aktien,USD,SHOO,,0,,,-56.35,-4,0,-60.35,-54.6,
